id,name,player_1,character_1,player_2,character_2,tournament
1-XdyuDXFoWeDI-xoXhbw3F4UtdjsoKlS,Top 16 (Beast Bracket) LQF - Moburu (Marth) vs Jane Doe (Sheik).zip,Moburu,Marth,Jane Doe,Sheik,NYCMelee's Stock Exchange #27
10SYdJUAo66QfuHpI8Md_dxFvz6Gx5Qap,Top 16 (Beast Bracket) LR3 - Jane Doe (Sheik) vs Anchor (Falcon).zip,Jane Doe,Sheik,Anchor,Falcon,NYCMelee's Stock Exchange #27
1CnfAAnI52D-Z_REgTI740oCdDnf6mnop,Top 16 (Beast Bracket) LR3 - Arty (Peach) vs kdog (Marth).zip,Arty,Peach,kdog,Marth,NYCMelee's Stock Exchange #27
1K01EuujM9-qTuhtbJq51PUiWaqwhAxVW,Top 16 (Beast Bracket) LR2 - Jane Doe (Sheik) vs TSB (Falcon).zip,Jane Doe,Sheik,TSB,Falcon,NYCMelee's Stock Exchange #27
1keCaSJgR0L9zBRw-p4Cfh8yrO_-fO2BH,Top 16 (Beast Bracket) LR2 - FF (Fox) vs Arty (Peach).zip,FF,Fox,Arty,Peach,NYCMelee's Stock Exchange #27
1OcmJZB1vycM8UoHa0ZBU48YyROiTwlfG,Top 16 (Beast Bracket) LR2 - kdog (Marth) vs KingNut (Fox).zip,kdog,Marth,KingNut,Fox,NYCMelee's Stock Exchange #27
116AEueY37lpzU95_mYYueG0K2Qpzlhzm,Top 16 (Beast Bracket) LR1 - TSB (Falcon) vs Wombat (Peach).zip,TSB,Falcon,Wombat,Peach,NYCMelee's Stock Exchange #27
1gqjl0YeT6iHig9OptomHzHDY-wnySFY3,Top 16 (Beast Bracket) LR2 - Anchor (Falcon) vs Jango UU (Falco).zip,Anchor,Falcon,Jango UU,Falco,NYCMelee's Stock Exchange #27
1QhbhI5YwJUqHl9nnj_tnKxf88p4NEnTA,Top 16 (Beast Bracket) LR1 - B9 (Fox) vs KingNut (Fox).zip,B9,Fox,KingNut,Fox,NYCMelee's Stock Exchange #27
1lUSNev5EAFL0LSosGWlM3JznFIaC5kTh,Bracket LR4 - J Solo (Marth) vs Wombat (Peach).zip,J Solo,Marth,Wombat,Peach,NYCMelee's Stock Exchange #27
1f_WE6Yo7-aYNQKNOBSIpUby2-EUYk8sj,Top 16 (Beast Bracket) LR1 - Breakfast (Fox) vs Jango UU (Falco).zip,Breakfast,Fox,Jango UU,Falco,NYCMelee's Stock Exchange #27
18uC-y3a0mHA8S0M4zfEks-dHZuSPLP5G,Bracket LR4 - Bongo (Fox) vs Combusting (Falco).zip,Bongo,Fox,Combusting,Falco,NYCMelee's Stock Exchange #27
17pIf1FoMV9PgWP11NDLomDpQd26EGx5O,Bracket LR4 - Breakfast (Fox) vs Freezus (Fox).zip,Breakfast,Fox,Freezus,Fox,NYCMelee's Stock Exchange #27
1mm2Z92th7dirJF1Y1tBat132Au_KNxmw,Bracket LR4 - Unfair (Sheik) vs B9 (Fox).zip,Unfair,Sheik,B9,Fox,NYCMelee's Stock Exchange #27
1OOUyottgr0mi66VYFiz6iBOWKWClM14T,Bracket LR3 - Marcanine (Fox) vs Wombat (Peach).zip,Marcanine,Fox,Wombat,Peach,NYCMelee's Stock Exchange #27
10nTUHn6_lr1-LZJfKy2JOIBuo0ouL6L7,Bracket LR3 - JKiller (Puff) vs Breakfast (Fox).zip,JKiller,Puff,Breakfast,Fox,NYCMelee's Stock Exchange #27
1ojoUyvYBxm1hkxXN2mnAQ5LLKhXkYm8M,Bracket LR3 - Triple C (Falcon) vs xXgirlb0ssXx (Falco).zip,Triple C,Falcon,xXgirlb0ssXx,Falco,NYCMelee's Stock Exchange #27
1AJWHGGw9Dp9RZ86l-O58mTNfr78TbtJ2,Bracket LR3 - Combusting (Falco) vs Brick (Fox).zip,Combusting,Falco,Brick,Fox,NYCMelee's Stock Exchange #27
10IoR6if2gtVXlIHbQ_d0lZ_217gtZq4c,Bracket LR3 - B9 (Fox) vs WayLaY (ICs).zip,B9,Fox,WayLaY,ICs,NYCMelee's Stock Exchange #27
1jpjtPWve-QqME0Tj9tBbmUwqxL-IDUc8,Bracket WQF - E-tie (Fox) vs Bongo (Fox).zip,E-tie,Fox,Bongo,Fox,NYCMelee's Stock Exchange #27
1_f7_TAxtvvg3kJuzvDLswd7_orTQ5k52,Bracket LR2 - Tamus (Samus) vs Mackee (Marth).zip,Tamus,Samus,Mackee,Marth,NYCMelee's Stock Exchange #27
1kmvEZt5E7R2g9g9eEmpV28cJEvupDps4,Bracket WQF - GabeGlitches (Falcon) vs TSB (Sheik).zip,GabeGlitches,Falcon,TSB,Sheik,NYCMelee's Stock Exchange #27
1Oz0BZUGHqFQLoaHm5aaGZH_ja2Hx9HWx,Bracket LR2 - B9 (Fox) vs NotDeadman (Falco).zip,B9,Fox,NotDeadman,Falco,NYCMelee's Stock Exchange #27
12Cnjnnhx9wGv8-8xbo7d2PrnLoNsOWP_,"Bracket LR2 - Marcanine (Fox, Mario) vs sherbs (Falcon).zip",Marcanine,"Fox, Mario",sherbs,Falcon,NYCMelee's Stock Exchange #27
1Oj_rGyNSnCmvmb-39PsIpB6sk7Kxy43G,Bracket LR2 - Animal Farmed (Falco) vs Breakfast (Fox).zip,Animal Farmed,Falco,Breakfast,Fox,NYCMelee's Stock Exchange #27
1aDP-KUZ3MyGtpM5UQ9jQSbYIrQEb-mAq,Bracket LR2 - Brick (Fox) vs Matt the Whopper (Sheik).zip,Brick,Fox,Matt the Whopper,Sheik,NYCMelee's Stock Exchange #27
18St1-axX92VB9SA4awTmWfk8VhZKsVCn,Bracket LR2 - Triple C (Falcon) vs austin (Fox).zip,Triple C,Falcon,austin,Fox,NYCMelee's Stock Exchange #27
1fN-byYcM7KFgPcRB2NreZTEamnNwjNCd,"Bracket LR2 - JKiller (Puff, Bowser, Zelda) vs Royboy (Roy).zip",JKiller,"Puff, Bowser, Zelda",Royboy,Roy,NYCMelee's Stock Exchange #27
1zTGqrOyBPDtbkKdyTgMepFlE_Rqyk0Vv,"Bracket LR2 - xXgirlb0ssXx (Falco) vs Zev (Falco, Fox).zip",xXgirlb0ssXx,Falco,Zev,"Falco, Fox",NYCMelee's Stock Exchange #27
1jsrf3cybZs7A99OcOOWnAgdAIkidcFgk,Bracket LR2 - WayLaY (ICs) vs ktw (Fox).zip,WayLaY,ICs,ktw,Fox,NYCMelee's Stock Exchange #27
1AxyeZmCiWdhxKPt7fOrQzUaNAGrJ7SeH,Bracket LR2 - Combusting (Falco) vs Faraday (Marth).zip,Combusting,Falco,Faraday,Marth,NYCMelee's Stock Exchange #27
1jcPibcG_CIDZXpyiTNb9VvZfw08bjh_c,Bracket WR2 - Moburu (Marth) vs Kyle (Falco).zip,Moburu,Marth,Kyle,Falco,NYCMelee's Stock Exchange #27
1WRDgTM8QExLUkfNtYqiXZLYYI1v4t5w_,Bracket WR2 - Bongo (Fox) vs B9 (Fox).zip,Bongo,Fox,B9,Fox,NYCMelee's Stock Exchange #27
1uCUczNIt5-X3Y8dmJ6c_86MwdEqXxRX3,Bracket LR2 - Lemon Garlic (Falcon) vs Rainmaker (Fox).zip,Lemon Garlic,Falcon,Rainmaker,Fox,NYCMelee's Stock Exchange #27
17jvFqtCk25OBbSbioskR04jR51ft1ckw,"Bracket WR2 - Marcanine (Falco, Fox) vs FF (Fox).zip",Marcanine,"Falco, Fox",FF,Fox,NYCMelee's Stock Exchange #27
13ZCiFqZUwLFR_IXiD4QQKITAA0_PtlxK,Bracket WR2 - E-tie (Fox) vs WayLaY (ICs).zip,E-tie,Fox,WayLaY,ICs,NYCMelee's Stock Exchange #27
